Unnamed: 0,ชื่อ,โรงพยาบาลที่ติดอันดับการจัดโรงพยาบาลที่ดีที่สุดโลก,เครือกลุ่มโรงพยาบาล,ประเภทโรงพยาบาลเอกชน,จำนวนเตียง,ราคาห้องผู้ป่วยใน(ห้องธรรมดา),แผนกพื้นฐานในการรักษา,จำนวนแพทย์,อัตรา IPD,อัตรา OPD,จำนวนครั้งในการเคลม,กลุ่มที่ 1,กลุ่มที่ 4,กลุ่มที่ 6,กลุ่มที่ 7,กลุ่มที่ 10,กลุ่มที่ 11,กลุ่มที่ 14,กลุ่มที่ 17,กลุ่มที่ 18,กลุ่มที่ 20,Cluster_label,segment
46,บีแคร์เมดิคอลเซ็นเตอร์,None,None,Private,136,4330,5,145,0.0617124394184168,0.9382875605815832,3095,4775.646911764707,1967.39093922652,1263.715625,5798.239082568808,2692.418990929705,6913.994029126214,3803.948418079096,0.0,3075.875693430657,2990.880775862069,0,First
47,บุญญาเวช,None,None,Private,29,2900,8,8,0.0930232558139534,0.9069767441860463,43,0.0,18061.8,0.0,4656.214482758621,0.0,900.0,0.0,0.0,0.0,2640.0,0,First
48,ปิยะเวท,None,BHGRT,Private,150,5760,9,243,0.048804780876494,0.951195219123506,1004,7049.050847457627,1682.152191780822,24907.5,1774.041891891892,1845.58038961039,5197.192149532711,10019.13581395349,0.0,4274.9575,2735.8125,0,First
49,พญาไท 1 : BDMS,Top,BDMS,Private,174,4800,9,245,0.0664810302819352,0.9335189697180648,2873,10391.07718120805,2950.424623115578,10156.69,5015.580291970803,5799.679104477612,5636.464117647059,5639.004189944134,0.0,9301.16396103896,4119.281818181818,0,First
50,พญาไท 2 : BDMS,Top,BDMS,Private,260,6687,9,535,0.0710580287127518,0.929183254916154,8289,6936.915319587629,2192.394695787832,11418.02941176471,2963.533076923077,3695.271394374626,8980.261057692307,7543.458949416342,1300.0,8190.924333333333,3121.17593175853,0,First
51,พญาไท 3 : BDMS,None,BDMS,Private,230,6200,9,412,0.0979147778785131,0.9020852221214868,4412,10889.84783281734,2478.876865671642,14374.95833333333,4387.784172661871,4461.405240174672,9299.647916666669,8960.068897637795,2171.0,7216.674418604651,4199.943620178042,0,First
52,พญาไท นวมินทร์ : BDMS,None,BDMS,Private,140,4100,9,57,0.0617955693742712,0.9382044306257288,2573,6745.091954022989,2691.196581196581,3138.153846153846,2634.710084033613,3201.797639123103,6988.89705882353,4371.988505747127,0.0,5520.825949367088,3275.768253968254,0,First
53,พระมงกุฎเกล้า,Top,None,Public,953,2000,9,249,0.1436314363143631,0.8563685636856369,738,11986.16666666667,2629.574468085106,4716.416666666667,2925.316176470588,3996.212142857143,24879.83695652174,3958.942857142857,0.0,1543.367346938775,3806.888888888889,0,First
54,พระรามเก้า,Top,None,Private,166,7950,9,340,0.0436110432445638,0.956388956755436,8186,5939.503863987636,2751.449675324676,3073.111111111112,2482.416426512968,2418.903585008148,5782.044444444445,5142.04375,0.0,5235.68058968059,2371.603015075377,0,First
55,ภูมิพลอดุลยเดช กรมแพทย์ทหารอากาศ,None,None,Private,619,2000,9,221,0.0866141732283464,0.9133858267716536,254,1933.5,1220.727272727273,1166.767857142857,3996.525,1027.3,2102.880952380952,2640.0,0.0,1558.666666666667,6034.633333333333,0,First
